📺央视频道,#genre#
CCTV-1,http://171.213.129.138:1880/udp/239.93.0.184:5140
CCTV-1,https://hyf000.eu.org/FG/1
CCTV-1,http://60.168.108.6:4000/rtp/238.1.78.166:7200
CCTV-1,http://171.38.41.206:8181/tsfile/live/0001_1.m3u8
CCTV-1,http://60.168.108.142:4000/rtp/238.1.78.166:7200
CCTV-1,http://60.168.245.164:8888/rtp/238.1.78.166:7200
CCTV-1,http://154.12.61.105:35455/bptv/10000100000000050000000003248324.m3u8
CCTV-1,http://cc.95279527.space:35455/bptv/10000100000000050000000003248324.m3u8
CCTV-1,http://xmiin.com:35455/bptv/10000100000000050000000003248324.m3u8
CCTV-2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.65.175/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.67.179/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.65.133/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.67.155/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.66.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://39.134.65.196/PLTV/88888888/224/3221225599/1.m3u8
CCTV-2,http://[2409:8087:8:21::5]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
CCTV-2,http://[2409:8087:8:21::19]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226457/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~e2qS8h6u-xp3gd50vNr1sw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPPFD3HVWEytEVyliOxehfe%2CEND
